package	num	num_dang	perm_normal	perm_dang
com.uip.gosuslugi2	30	7	android.permission.REQUEST_INSTALL_PACKAGES,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.VIBRATE,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.ACCESS_NETWORK_STATE,me.everything.badger.permission.BADGE_COUNT_READ,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.READ_APP_BADGE,com.google.android.c2dm.permission.RECEIVE,com.sec.android.provider.badge.permission.READ,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.oppo.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.sonyericsson.home.permission.BROADCAST_BADGE,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.WAKE_LOCK,com.sec.android.provider.badge.permission.WRITE,android.permission.INTERNET,com.huawei.android.launcher.permission.READ_SETTINGS,com.htc.launcher.permission.READ_SETTINGS,android.permission.USE_FINGERPRINT,com.anddoes.launcher.permission.UPDATE_COUNT	android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_CALENDAR,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA
com.uip.inspector	12	6	android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.FLASHLIGHT,com.uip.inspector.permission.C2D_MESSAGE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.GET_ACCOUNTS,android.permission.ACCESS_COARSE_LOCATION
com.gibdd.app	26	0	com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.INTERNET,me.everything.badger.permission.BADGE_COUNT_READ,com.oppo.launcher.permission.WRITE_SETTINGS,com.huawei.android.launcher.permission.READ_SETTINGS,com.sonyericsson.home.permission.BROADCAST_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.oppo.launcher.permission.READ_SETTINGS,com.sec.android.provider.badge.permission.READ,com.google.android.c2dm.permission.RECEIVE,com.htc.launcher.permission.READ_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.USE_FULL_SCREEN_INTENT,android.permission.ACCESS_NETWORK_STATE,android.permission.SCHEDULE_EXACT_ALARM,android.permission.READ_APP_BADGE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.VIBRATE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED	
com.uip.crowdcontrol	24	3	com.huawei.android.launcher.permission.CHANGE_BADGE,com.htc.launcher.permission.UPDATE_SHORTCUT,com.google.android.c2dm.permission.RECEIVE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.WAKE_LOCK,com.sec.android.provider.badge.permission.WRITE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.VIBRATE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_APP_BADGE,com.sonyericsson.home.permission.BROADCAST_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.INTERNET,me.everything.badger.permission.BADGE_COUNT_READ,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.READ_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,com.oppo.launcher.permission.WRITE_SETTINGS,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.htc.launcher.permission.READ_SETTINGS	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE
com.sc.mfcnso	15	4	android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.SCHEDULE_EXACT_ALARM	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.mosreg.easuz.portal	15	6	android.permission.ACCESS_WIFI_STATE,com.android.vending.CHECK_LICENSE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.SYSTEM_ALERT_WINDOW,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_CALENDAR,android.permission.READ_PHONE_STATE,android.permission.WRITE_CALENDAR
com.venul.region72	11	4	android.permission.WAKE_LOCK,android.permission.BLUETOOTH_ADMIN,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.ACTIVITY_RECOGNITION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.BLUETOOTH	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.BODY_SENSORS,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.orb.ag2	34	6	me.everything.badger.permission.BADGE_COUNT_READ,android.permission.RECEIVE_BOOT_COMPLETED,com.oppo.launcher.permission.READ_SETTINGS,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,com.anddoes.launcher.permission.UPDATE_COUNT,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,com.sonyericsson.home.permission.BROADCAST_BADGE,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.FOREGROUND_SERVICE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.sec.android.provider.badge.permission.WRITE,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.google.android.c2dm.permission.RECEIVE,android.permission.SYSTEM_ALERT_WINDOW,com.oppo.launcher.permission.WRITE_SETTINGS,com.sec.android.provider.badge.permission.READ,com.majeur.launcher.permission.UPDATE_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,com.htc.launcher.permission.UPDATE_SHORTCUT,android.permission.READ_APP_BADGE,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.VIBRATE	android.permission.RECORD_AUDIO,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.orb.mfc.mobile	13	5	android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.CHANGE_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE
ru.tyumen.telemed	24	7	android.permission.REORDER_TASKS,android.permission.ACCESS_WIFI_STATE,android.permission.USE_FINGERPRINT,android.permission.BLUETOOTH_ADMIN,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_BIOMETRIC,android.permission.MANAGE_OWN_CALLS,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.BLUETOOTH,android.permission.VIBRATE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.INTERNET,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.USE_FULL_SCREEN_INTENT,com.google.android.c2dm.permission.RECEIVE,android.permission.FOREGROUND_SERVICE	android.permission.CAMERA,android.permission.WRITE_CALENDAR,android.permission.RECORD_AUDIO,android.permission.READ_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE
