package	num	trackers
ru.gazprombank.android.mobilebank.app	5	AppsFlyer,Google Firebase Analytics,AppMetrica,Microsoft Visual Studio App Center Crashes,Huawei Mobile Services (HMS) Core
com.goplaytoday.guildofheroes	37	AppsFlyer,Flurry,Google CrashLytics,Ogury Presage,Twitter MoPub,Google Analytics,Google Firebase Analytics,ChartBoost,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,ironSource,Vungle,myTracker,PubNative,HyprMX,myTarget,Tapjoy,Mintegral,Google AdMob,Verizon Ads,maio by i-mobile,IAB Open Measurement,Mail.ru,Pangle,VKontakte SDK,Snap Ad Kit
ru.sberbank.sberkids	2	Google CrashLytics,Google Firebase Analytics
ru.gosuslugi.goskey	2	Google Firebase Analytics,Huawei Mobile Services (HMS) Core
com.herocraft.game.cut.arcade.catchthecandy	28	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Smaato,AdColony,Amazon Advertisement,Fyber,Inmobi,Unity3d Ads,Yandex Ad,AppMetrica,AppMonet,Vungle,myTracker,PubNative,myTarget,Tapjoy,Mintegral,Tenjin,Google AdMob,Verizon Ads,IAB Open Measurement,Mail.ru,Pangle
com.vk.mail	15	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Ads,Google Tag Manager,myTracker,myTarget,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Google AdMob,IAB Open Measurement,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.mail.cloud	16	AppsFlyer,Schibsted,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Unity3d Ads,ironSource,myTracker,myTarget,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Google AdMob,IAB Open Measurement,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.ostrovok.android	11	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Amplitude,AppMetrica,Branch,Google AdMob,Exponea
ru.tv1.kino	6	Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,Google AdMob,Huawei Mobile Services (HMS) Core
ru.aeroflot	4	Google CrashLytics,Google Analytics,Locuslabs,Google Tag Manager
ru.mts.money	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.hh.android	9	Google CrashLytics,Google Analytics,Google Firebase Analytics,Yandex Ad,AppMetrica,myTracker,Google AdMob,Huawei Mobile Services (HMS) Core,VKontakte SDK
com.hunterhamster.snailbob	24	Google Analytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Google Tag Manager,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,GameAnalytics,Tenjin,Google AdMob,IAB Open Measurement,Pangle
ru.burgerking	8	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppMetrica,Google AdMob
ru.mamba.client	16	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,Google Tag Manager,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,VKontakte SDK
ru.sblogistics.android	3	AppsFlyer,Google Firebase Analytics,AppMetrica
com.okg.theheavens	19	AppsFlyer,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Amazon Advertisement,Fyber,Unity3d Ads,Amplitude,ironSource,Vungle,myTracker,myTarget,Google AdMob,IAB Open Measurement,Mail.ru,Pangle
ru.vseapteki	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,myTracker,myTarget,VKontakte SDK
com.cetelem.cetelem_android	2	Google CrashLytics,AppMetrica
ru.mts.mtstv	7	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,Google AdMob
com.icq.mobile.client	5	HockeyApp,Google Firebase Analytics,myTracker,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics
ru.openbroker.app	5	Google CrashLytics,Google Firebase Analytics,Amplitude,AppMetrica,myTracker
ru.mosmetro.metro	7	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,Microsoft Visual Studio App Center Crashes,Huawei Mobile Services (HMS) Core
com.zigzag_mobile.skorolek	4	Yandex Ad,AppMetrica,myTarget,Google AdMob
com.lunappstudio.crossroyal	21	Flurry,Ogury Presage,Google Firebase Analytics,Facebook Ads,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Unity3d Ads,Yandex Ad,AppMetrica,ironSource,Appodeal,Vungle,Criteo,myTracker,myTarget,Google AdMob,IAB Open Measurement,Pangle,Appodeal Stack,BidMachine
ru.ritmmedia.yappy	6	Google CrashLytics,Google Firebase Analytics,Adjust,Amplitude,AppMetrica,VKontakte SDK
com.vk.calls	10	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,myTracker,myTarget,IAB Open Measurement,VKontakte SDK
ru.ivi.client	8	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob,VKontakte SDK
ru.ntv.today	9	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Yandex Ad,AppMetrica,Google AdMob,VKontakte SDK
ru.getpharma.eapteka	8	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Amplitude,New Relic,AppMetrica,Google AdMob,Huawei Mobile Services (HMS) Core
