package	title	creator	description	version	trackers_num	trackers	perm_num_total	perm_num_dang	perm_normal	perm_dang
media.worldpotatoco	Луководы	ИП Ковалев Виктор Алексеевич	Выращивание лука	1.1	9	Flurry,ATInternet,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,Countly,Google AdMob	14	5	android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_WIFI_STATE	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION
system.potato.app	Картофельная система	ИП Ковалев Виктор Алексеевич	Картофельная система	64.6	9	Flurry,ATInternet,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,Countly,Google AdMob	13	4	android.permission.VIBRATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE
ru.sports.euro2016liverus	Футбол - новости, результаты	Sports.ru	Трансляции матчей футбола и статистика	7.0.13	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR,android.permission.WRITE_CALENDAR
ru.sports.zenit	ФК Зенит - новости 2022	Sports.ru	Главное приложение о ФК Зенит!	5.0.7	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	android.permission.VIBRATE,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,com.android.vending.BILLING,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR,android.permission.WRITE_CALENDAR
ru.sports.khl	КХЛ | Кубок Гагарина - 2022	Sports.ru	Новости и многое другое о КХЛ и хоккее	5.0.7	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	com.google.android.gms.permission.AD_ID,android.permission.VIBRATE,com.android.vending.BILLING,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR
ru.tsarday.clan	Царские дни	ЦЕНТРАЛИЗОВАННАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЕКАТЕРИНБУРГСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ	Программа мероприятий	2.4	1	Google Firebase Analytics	4	0	com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE	
ru.sports.hockey	Хоккей – КХЛ, НХЛ и Олимпиада	Sports.ru	Хоккей от Sports.ru - все о хоккее	6.0.7	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR
ru.sports.nhl	НХЛ - новости, результаты 2022	Sports.ru	Все о National Hockey League (NHL)	5.0.7	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	android.permission.ACCESS_WIFI_STATE,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,com.android.vending.BILLING,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CALENDAR
ru.sports.cska	ФК ЦСКА - новости оналйн 2022	Sports.ru	Новости, статистика, трансляции ФК ЦСКА	5.0.5	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	android.permission.WAKE_LOCK,android.permission.VIBRATE,android.permission.ACCESS_WIFI_STATE,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,android.permission.FOREGROUND_SERVICE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.READ_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_CALENDAR
ru.sports.epl	Чемпионат Англии - 2022	Sports.ru	Главное приложение об АПЛ.	5.0.7	14	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Snowplow,Yandex Ad,AppMetrica,myTracker,myTarget,Google AdMob,IAB Open Measurement,VKontakte SDK	14	3	com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,com.android.vending.BILLING,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID	android.permission.READ_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_CALENDAR
