package	num	num_dang	perm_normal	perm_dang
com.taxsee.taxsee	23	4	android.permission.FOREGROUND_SERVICE,android.permission.GET_TASKS,android.permission.BLUETOOTH,android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.USE_FULL_SCREEN_INTENT,android.permission.ACCESS_NETWORK_STATE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.WAKE_LOCK,android.permission.INTERNET,com.google.android.gms.permission.AD_ID,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.ACCESS_COARSE_UPDATES,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.VIBRATE,android.permission.CHANGE_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_WIFI_STATE	android.permission.RECORD_AUDIO,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE
ru.gibdd_pay.app	10	0	ru.gibdd_pay.app.permission.PUSH_PROVIDER,android.permission.ACCESS_NETWORK_STATE,ru.gibdd_pay.app.permission.PROCESS_PUSH_MSG,android.permission.INTERNET,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FOREGROUND_SERVICE,android.permission.WAKE_LOCK	
ru.invoicebox.troika.individual	14	2	android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.gms.permission.AD_ID,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.NFC	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION
ru.vin.proverka.auto	9	1	com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,com.android.vending.BILLING,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.CAMERA
ru.tutu.tutu_emp	21	7	android.permission.AUTHENTICATE_ACCOUNTS,android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.BLUETOOTH_ADMIN,android.permission.WAKE_LOCK	android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION
com.blackspoongames.gims	4	1	android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE
infobot.gibdd.vin.auto	8	1	com.google.android.c2dm.permission.RECEIVE,android.permission.INTERNET,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE	android.permission.CAMERA
youdrive.today	31	9	android.permission.ACCESS_WIFI_STATE,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,android.permission.BLUETOOTH_SCAN,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH_ADMIN,android.permission.CHANGE_NETWORK_STATE,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_BIOMETRIC,android.permission.WRITE_SETTINGS,android.permission.BLUETOOTH_CONNECT,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.WAKE_LOCK,android.provider.Telephony.SMS_RECEIVED,com.google.android.gms.permission.AD_ID,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.BLUETOOTH,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.INTERNET	android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.RECORD_AUDIO,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.WRITE_EXTERNAL_STORAGE
poezd.na.bilet	3	0	android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE	
ru.aviabilety.deshevo	13	4	android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.RECEIVE_BOOT_COMPLETED	android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CALENDAR,android.permission.WRITE_CALENDAR
